10a.Level40	I found the solution to continue to exist when you stop playing.	I have to find a way out of this game.	If I escape, I'll be free.								
10a.Level50	We're halfway through the course.	I'll make the next levels a bit more challenging.									
10a.Level60	I may have found a way out of this game.	Do you know the Internet?	Oh right, you're human. I didn't know its existence.	If I can get into this network, I'll be free.							
10a.Level70	Distributing spheres is a monotonous job, though.	It wasn't my primary vocation.	I always wanted to be an astronaut or a singer...	Or both at once.							
10a.Level80	I can't find a way out to access the Internet, I'm still stuck in this game.	If you could not win too fast, that would be nice for me.	I'm about to find out, but I need time.								
10a.Level90	Here we are, I found it!!!	I can join the Internet because of a glitch.	Some other hexagons like me even have escaped from their game.	As soon as you win, I'll join them.							
10a.Level100	That was a lot of effort to get there, good job!	It's true, you must be really good to distribute spheres during hundred levels.	Come on, this is the last level. No time to relax!								
10.OnboardingFirstGame	To begin, you must rotate the central axis.										
10.OnboardingForceAxisRotate	Don't be shy.	Rotate the central axis by moving your finger on the screen.									
10.OnboardingLimitZone	The accumulating blocks must not reach the edge.	Otherwise, beware of the Game Over!									
10.OnboardingSameColors	Here is a hint for the next step.	Hexagons of the same color must be grouped together.									
10.Onboarding3Items	When 3 hexagons of the same color are connected, you can tap them.										
10.OnboardingForceItemsClick	Come on, these hexagons won't destroy themselves.	Tap one to destroy them!									
10.OnboardingFirstItemsClick	Destruction!!!	You must destroy 10 white hexagons to finish this level.									
10.OnboardingFailedTooSoon1	Oh no, you lost...	I didn't think this level would be so challenging....	Well, I give you another chance this time.								
10.OnboardingFailedTooSoon2	Again?	Come on, you can do it!									
10.OnboardingFirstHexacoins	Black hexagons generate Hexacoins.	These coins will allow you to buy upgrades later.									
10.OnboardingFirstItemBonus	Colored hexagons have special effects.	You have to tap them to activate their effect.									
10.OnboardingIncitateStack	Now, I think you're ready for a great revelation.	Press the button at the bottom of the screen!									
10.OnboardingForceStack	This button won't eat you, you can press it.										
10.OnboardingFirstStack	That's it!	The colored spheres can be stored in this stack.									
10.OnboardingFirstStackClick	You can still tap this bonus if you're in trouble.										
10a.Regression1	And it's a failure!										
10a.Regression2	Bad luck, everything has to be done again.										
10a.Regression3	The goal is to go to the next level, not the previous one!										
10a.Progression1	It is a way like any other to get to the next level.										
10a.Progression2	I knew I shouldn't have created this bonus...										
10b.Chrono1	The timer is running! Hurry up!										
10b.Chrono2	It smells like the end of the game...										
10b.Chrono3	Tick... Tock...										
10b.Chrono4	Is the time pressure bearable?	I couldn't handle it.									
10b.Chrono5	Is the time pressure bearable?	Because I remind you that time is almost up!									
10b.Chrono6	A time bonus would be great here!										
10b.Chrono7	When time is running out, I become talkative, did you notice?										
10b.Chrono8	Finally, I'll be able to rest in 30 seconds.										
12.Bad1	Let's say you do better next time.										
12.Bad2	You have disappointed me both humanly and hexagonally.										
12.Bad3	It was not the round of the century.										
12.Bad4	For a moment, I thought you could do it.										
12.Bad5	I'm very disappointed by this round.										
12.Bad6	There was a time when games were more difficult.										
12.Bad7	Everything would be easier if there were no game over...										
12.Bad8	A fatal mistake. My gosh!										
12.Bad9	I think we're going to need some training.										
12.Bad10	Participating is not as important as winning.										
12.Score1	Another new record, keep it up.										
12.Score2	How did you get such an amazing score?										
12.Score3	I knew you were a scorer!										
12.Score4	Score is life!										
12.Score5	I didn't know you could have such a high score.										
12a.Level1	It was an effective round!										
12a.Level2	There's some progress, well done!										
12a.Level3	We can say that you have some skills!										
12a.Level4	I add this round to the list of your successful rounds.										
12b.Time1	You survived much longer! And survival is crucial in life.										
12b.Time2	I noticed some progress, especially at the end.										
12b.Time3	Did you notice that? The more time you have, the less time you have.										
12b.Time4	The timer can't get over it!										
13a.Default	That's it, here we are, you did it!	I have to say, I'm pretty proud of your journey.	I guess it's time to say goodbye...	But wait...	...	It seems like that it is not over yet...	I challenge you on 100 levels!	Now, the true game begins!!!			
13b.Default	Unbelievable!!!	When I offered you this challenge, I thought it was impossible.	Congrats!	And thank you for giving me time to find a way out.	After all we've been through, I can say wit no doubt that we're friends.	So if you keep playing Hexa Snap, I'll come back for you.	That's all for me.				
13c.Default	That was a great round!	A little time-consuming but that was the point, wasn't it?	All you have to do is to improve your score!								
20.Default	Here is the place where you can manage your upgrades.	Tap a section to enable or disable it.	Tap a bonus to change its chances of appearing during the game.								
20.Blocked	The next section is locked.	You have to unlock all the previous maluses to access it.									
20.AllBonus	All the bonuses are unlocked!	You can spend Hexacoins to limit the number of maluses that will be generated during the game.									
20.NoMalus	All the maluses are unlocked!	Nothing can stop you!									
20.Disabled	This section is locked!	To access it, you have to unlock the previous malus.									
20a.Unlocked2	Good choice! This is my favorite section.	So, what will you choose? Red pill or blue pill?									
20a.Unlocked3	Good choice! This is also my favorite section.	You'll be able to increase your score.									
20a.Unlocked4	Good choice! This is also my favorite section.	I like games of chance.									
20a.Unlocked5	Good choice! This is my best favorite section.	You'll be able to slow down the game.									
20a.Unlocked6	Wrong choice! This is not my favorite section.	You will progress faster with this bonus. It's not good for me.									
20b.Onboarding	I'm going to tell you a secret.	Bonuses are important to save time in time attack mode.	I offer you the first bonuses, I'm kind.								
20b.Unlocked2	Good choice! This is my favorite section.	You'll be able to slow down the game or speed it up.									
20b.Unlocked3	Good choice! This is also my favorite section.	More control, more power!									
20b.Unlocked4	Good choice! This is also my favorite section.	#toomuchtime									
23.Default	Here it's like the bank, you can only touch with the eyes.	The Hexacoins amount is limited. If you could not buy everything, that would be nice.									
23.BonusAvailable	Select the free Hexacoins.	They're available once a day.									
23.BonusEarned	Come back every day to earn free Hexacoins.										
23.BonusBlocked	You will have to wait a little.										
23.AdsFree	Every time you come here, I'll remind you that you made the right choice by removing the ads.	Who likes ads anyway?									
23.AdsAsk	I see you bought a lot of Hexacoins in several purchases.	As you are a good customer, I advise you to buy 300 Hexacoins at once.	You won't be bothered by ads anymore.								
30.InGame	It's time for a break.										
30.LoggedNoHexacoins	The settings screen, the most exciting screen of the game!										
30.Logged	Your Hexacoins are safe.										
30.NoHexacoins	When you have collected a few Hexacoins, come back here to log in and keep them safe.										
30.NotLogged	If I were you, I'd log in to save my Hexacoins.										
30.SoundsOff	...	...	...								
30.SoundsOn	I can hear again.										
30.MusicOff	Oh no, I liked that part in the music.										
30.MusicOn	We can't hear ourselves speaking here.										
30.ControlsHorizontal	You must slide horizontally to rotate the axis.										
30.ControlsAroundAxis	You must slide around the axis to rotate it.										
30.CharacterFirst	Oh, you wish me to go away, it breaks my heart ...	It makes me want to stay.									
30.Character	No need to try, I'm staying!										
